,languages,language_type,label 
0,These questions are easy to answer.,english,0
1,They are proud of their clever son.,english,0
2,They brought trouble on themselves.,english,0
3,"This is a good newspaper, isn't it?",english,0
4,"To make matters worse, he fell ill.",english,0
5,"Tomorrow, he will land on the moon.",english,0
6,We are all eager to know the truth.,english,0
7,What do you think she is doing now?,english,0
8,Where should I pick the tickets up?,english,0
9,Why did you come here this morning?,english,0
10,Wooden buildings catch fire easily.,english,0
11,Would you mind my opening the door?,english,0
12,You can have this book for nothing.,english,0
13,You can't buy that kind of loyalty.,english,0
14,You must take his age into account.,english,0
15,You should make use of this chance.,english,0
16,You should make use of this chance.,english,0
17,A hundred years is called a century.,english,0
18,"According to him, she is not coming.",english,0
19,"All of a sudden, she began to laugh.",english,0
20,All of my kids want to learn French.,english,0
21,Are you reading an interesting book?,english,0
22,Are you reading an interesting book?,english,0
23,Are you reading an interesting book?,english,0
24,Are you saying my life is in danger?,english,0
25,Can I extend my stay one more night?,english,0
26,Don't talk about it in front of him.,english,0
27,Everybody came to the class on time.,english,0
28,Everyone in my family gets up early.,english,0
29,"Excuse me, is there a toilet nearby?",english,0
30,Few students use pencils these days.,english,0
31,God helps those who help themselves.,english,0
32,He can both speak and write Russian.,english,0
33,He couldn't understand the sentence.,english,0
34,He cried as if he were a boy of six.,english,0
35,He made up his mind to study abroad.,english,0
36,He seemed surprised by my ignorance.,english,0
37,He stuck the broken pieces together.,english,0
38,He will get better little by little.,english,0
39,Her advice to me was to work harder.,english,0
40,Her way of talking got on my nerves.,english,0
41,"Hurry, and you will catch the train.",english,0
42,I am a student at Oxford University.,english,0
43,I am really pleased with my new car.,english,0
44,I buried my dog at the pet cemetery.,english,0
45,I don't want to spend more than $10.,english,0
46,I never dreamed that you would lose.,english,0
47,I visit my grandmother twice a week.,english,0
48,I visit my grandmother twice a week.,english,0
49,I was in bed all day long yesterday.,english,0
50,I will come back to Canada tomorrow.,english,0
51,I've studied English for five years.,english,0
52,"In Japan, all children go to school.",english,0
53,Keep an eye on the baby for a while.,english,0
54,Let's get together here once a week.,english,0
55,My birthday is one month from today.,english,0
56,My father usually comes home at six.,english,0
57,My father went jogging after dinner.,english,0
58,My father works for a power company.,english,0
59,No one believes that he is innocent.,english,0
60,Opinions vary from person to person.,english,0
61,Opinions vary from person to person.,english,0
62,She always complains of her teacher.,english,0
63,She believes her son is still alive.,english,0
64,She talks as if she knew everything.,english,0
65,Some day we'll take a trip to India.,english,0
66,"Some like tea, others prefer coffee.",english,0
67,Stars cannot be seen in the daytime.,english,0
68,Tell me the name of the ninth month.,english,0
69,That's a completely unfounded rumor.,english,0
70,The cat slowly approached the mouse.,english,0
71,The children were well looked after.,english,0
72,The doctor advised him not to smoke.,english,0
73,The doctor advised him not to smoke.,english,0
74,The law says that all men are equal.,english,0
75,The plan has been successful so far.,english,0
76,The plane will take off in one hour.,english,0
77,The wind scattered the leaves about.,english,0
78,There are many old temples in Kyoto.,english,0
79,This hat does match the brown dress.,english,0
80,We are in agreement on this subject.,english,0
81,We managed to swim across the river.,english,0
82,We talked to each other for a while.,english,0
83,We were all very happy at breakfast.,english,0
84,What are you going to do in college?,english,0
85,What do you usually do after dinner?,english,0
86,What was the weather like yesterday?,english,0
87,What would the world do without tea?,english,0
88,Which shoes are you going to put on?,english,0
89,Won't you come and see me next week?,english,0
90,"Would you speak more slowly, please?",english,0
91,You are doing very well. Keep it up.,english,0
92,You should not leave the baby alone.,english,0
93,You've never seen a genuine diamond.,english,0
94,A river runs down through the valley.,english,0
95,A thick mist covered the countryside.,english,0
96,Are there enough chairs to go around?,english,0
97,At times I feel like quitting my job.,english,0
98,Buddhism had its beginnings in India.,english,0
99,Butter and cheese are made from milk.,english,0
100,Classical music is not my cup of tea.,english,0
101,Could you bring me another hot towel?,english,0
102,Do you feel any pain in your stomach?,english,0
103,He broke one of the bones in his leg.,english,0
104,He is less impatient than his father.,english,0
105,He lost no time answering the letter.,english,0
106,He put a hand gently on her shoulder.,english,0
107,He said he would see me the next day.,english,0
108,He was born in a small town in Italy.,english,0
109,He was standing at the street corner.,english,0
110,He will be a doctor when he grows up.,english,0
111,He wiped the sweat from his forehead.,english,0
112,His dog follows him wherever he goes.,english,0
113,How do you interpret these sentences?,english,0
114,I am doing business on a large scale.,english,0
115,I had met her many times before then.,english,0
116,I had met him many times before then.,english,0
117,I have a friend who lives in England.,english,0
118,I have nothing to say on this matter.,english,0
119,I helped my father water the flowers.,english,0
120,I took the opportunity to visit Rome.,english,0
121,I want to know why Tom is doing this.,english,0
122,I was amazed at the speed of the car.,english,0
123,I was scared that you might leave me.,english,0
124,I went to Europe by way of Anchorage.,english,0
125,I'm satisfied with my current income.,english,0
126,I'm satisfied with my current income.,english,0
127,"I'm sorry, but I can't hear you well.",english,0
128,"I'm sorry, but I can't hear you well.",english,0
129,I've got a bit of an ache in my back.,english,0
130,I've got one brother and two sisters.,english,0
131,Imagine that you have a time machine.,english,0
132,"In those days, I went to bed earlier.",english,0
133,It's your turn. Please come this way.,english,0
134,She complained to me of his rudeness.,english,0
135,She prepared a wonderful meal for us.,english,0
136,She was only pretending to be asleep.,english,0
137,She went to Paris for the first time.,english,0
138,That's Tom's house with the red roof.,english,0
139,That's too small to fit on your head.,english,0
140,The train is made up of fifteen cars.,english,0
141,There's been a lot of rain this year.,english,0
142,They dug here and there for treasure.,english,0
143,Turn left and you will find the cafe.,english,0
144,We are all anxious about your health.,english,0
145,We are all anxious about your health.,english,0
146,We are to meet in front of his house.,english,0
147,What put such an idea into your head?,english,0
148,Who are you going to eat dinner with?,english,0
149,You can see the whole city from here.,english,0
150,You should have attended the meeting.,english,0
151,A good idea occurred to me last night.,english,0
152,"At last, the truth became known to us.",english,0
153,He asked me if I could do him a favor.,english,0
154,He can imitate the rest of the family.,english,0
155,"He doesn't speak French, neither do I.",english,0
156,He earns more money than he can spend.,english,0
157,He exhibited no remorse for his crime.,english,0
158,He gave his children a good education.,english,0
159,He wouldn't allow me to drive his car.,english,0
160,His failure has nothing to do with me.,english,0
161,How many cars has that company bought?,english,0
162,How many people are on board the ship?,english,0
163,I always got up early in my childhood.,english,0
164,I am going to go play ball with Mohan.,english,0
165,I am well acquainted with the subject.,english,0
166,I don't know if it will rain tomorrow.,english,0
167,I don't want to buy this kind of sofa.,english,0
168,I doubt the veracity of his statement.,english,0
169,I had never seen her before that time.,english,0
170,I have just finished reading the book.,english,0
171,I know a girl who can ride a unicycle.,english,0
172,"I know his address, but it's a secret.",english,0
173,I regret not having bought that house.,english,0
174,I want to help you with your homework.,english,0
175,I'll be staying here for three months.,english,0
176,I'm sure that she will come back soon.,english,0
177,I've taught myself to play the guitar.,english,0
178,It is necessary that you see a doctor.,english,0
179,It's been ten years since we last met.,english,0
180,Leave your umbrella at the front door.,english,0
181,Look up the phrase in your dictionary.,english,0
182,Mary was looking for you at that time.,english,0
183,Mom scolded me for making fun of them.,english,0
184,My mother put clean sheets on the bed.,english,0
185,My sister always keeps her room clean.,english,0
186,My uncle is an amateur cricket player.,english,0
187,My uncle is an amateur cricket player.,english,0
188,My uncle is an amateur cricket player.,english,0
189,My uncle is an amateur cricket player.,english,0
190,She called her children into the room.,english,0
191,She passed away peacefully last night.,english,0
192,She told me that she wanted a pet dog.,english,0
193,She was brought up by her grandmother.,english,0
194,She was brought up by her grandmother.,english,0
195,She was watching the dead leaves fall.,english,0
196,She will become a doctor in two years.,english,0
197,Sickness prevented him from going out.,english,0
198,"Strange as it may sound, this is true.",english,0
199,Taste this wine to see if you like it.,english,0
200,The dog followed him wherever he went.,english,0
201,The food was not fit for man or beast.,english,0
202,The police were patrolling the street.,english,0
203,The train is ten minutes behind today.,english,0
204,The trouble is that they have no time.,english,0
205,There is no longer any room for doubt.,english,0
206,There's no use trying to persuade him.,english,0
207,They charged me for the broken window.,english,0
208,They were scattered in all directions.,english,0
209,This cloth is really smooth and silky.,english,0
210,This machine is driven by electricity.,english,0
211,This medicine will clear up your cold.,english,0
212,This medicine will take the pain away.,english,0
213,Two boys came running out of the room.,english,0
214,We have two unused rooms in our house.,english,0
215,"We ordered pink, but we received blue.",english,0
216,"We tried it again, but couldn't do it.",english,0
217,Where's the remote control for the TV?,english,0
218,You are wearing your shirt inside out.,english,0
219,You are wearing your shirt inside out.,english,0
220,You can see a lot of stars in the sky.,english,0
221,You should make good use of your time.,english,0
222,Your daughter is not a child any more.,english,0
223,"Where do you live? ""I live in Tokyo.""",english,0
224,Father sometimes took me to his office.,english,0
225,He could not sleep because of the heat.,english,0
226,He embezzled the money from his office.,english,0
227,"He had nothing to say, so he went away.",english,0
228,He is getting along with his employees.,english,0
229,He sold his own car without hesitation.,english,0
230,He used to tell me stories about India.,english,0
231,Her mother was busy cooking the dinner.,english,0
232,How many times a day does that bus run?,english,0
233,How soon can you have this dress ready?,english,0
234,I am fully convinced of your innocence.,english,0
235,I am interested in American literature.,english,0
236,I am much obliged to you for your help.,english,0
237,I began to sing when I was a youngster.,english,0
238,I can't put up with this noise anymore.,english,0
239,I found nothing but a pair of scissors.,english,0
240,I know that all of this is just a game.,english,0
241,I met her in London for the first time.,english,0
242,I need to go home a little early today.,english,0
243,I was able to answer all the questions.,english,0
244,"I will ask him about it tomorrow, then.",english,0
245,I will find out how the medicine works.,english,0
246,I will pay my debt as soon as possible.,english,0
247,I'd like to see him tomorrow afternoon.,english,0
248,I'll be in Tokyo on business next week.,english,0
249,"If you have time, please drop in on us.",english,0
250,It will go away by itself in two weeks.,english,0
251,Mother bought a beautiful doll for her.,english,0
252,My father consented to my going abroad.,english,0
253,My mother often suffers from headaches.,english,0
254,Nothing but a miracle can save her now.,english,0
255,Please come again two weeks from today.,english,0
256,She is living in some village in India.,english,0
257,She reminds me very much of her mother.,english,0
258,"She said to herself, ""I am very happy.""",english,0
259,"Talking is one thing, doing is another.",english,0
260,The boy cannot have stolen my umbrella.,english,0
261,The gentleman is a very famous pianist.,english,0
262,The lights have been burning all night.,english,0
263,The rumor proved to be an absolute lie.,english,0
264,The scar on his cheek hardly shows now.,english,0
265,The two languages have a lot in common.,english,0
266,The work must be completed by tomorrow.,english,0
267,They will fall in love with each other.,english,0
268,We must try to protect the environment.,english,0
269,What languages do they speak in Canada?,english,0
270,Which is the more expensive of the two?,english,0
271,Who doesn't know such a simple proverb?,english,0
272,Workers must have their hair cut short.,english,0
273,Would you mind turning down the volume?,english,0
274,You must observe the rules of the club.,english,0
275,You've got a nerve to say such a thing!,english,0
276,Your examination results are excellent.,english,0
277,All you have to do is follow his advice.,english,0
278,Cows are sacred to many people in India.,english,0
279,He entered the room slowly by that door.,english,0
280,He had to go through a lot of hardships.,english,0
281,He had to reduce the price of his wares.,english,0
282,He has invited me to attend his wedding.,english,0
283,He is always complaining about his boss.,english,0
284,He was a great poet as well as a doctor.,english,0
285,He was covered in mud from head to foot.,english,0
286,He was destined never to meet her again.,english,0
287,He was happy at the news of her success.,english,0
288,How about adding a little bit more salt?,english,0
289,How did you get tickets for the concert?,english,0
290,How much time do we have to finish this?,english,0
291,I am confident he will keep his promise.,english,0
292,I am not sure how to pronounce the word.,english,0
293,I cannot stand his arrogance any longer.,english,0
294,I don't know if I'll have time to do it.,english,0
295,I have been writing letters all morning.,english,0
296,I have been writing letters all morning.,english,0
297,I have seen angels and talked with them.,english,0
298,I was disappointed that you didn't call.,english,0
299,I wish I had more time to talk with you.,english,0
300,I would rather stay at home than go out.,english,0
301,I'll expect to hear from you by Tuesday.,english,0
302,I'll give you an answer in a day or two.,english,0
303,I'm not ashamed of my father being poor.,english,0
304,"I've never met her, but I recognize her.",english,0
305,"I've never met him, but I recognize him.",english,0
306,It's about time for the train to arrive.,english,0
307,It's getting dark. You'd better go home.,english,0
308,Keep going straight through the village.,english,0
309,Mother and I are different in every way.,english,0
310,Nobody could tell what he meant by that.,english,0
311,Science begins when you ask why and how.,english,0
312,She had a daughter by her first husband.,english,0
313,She loves watching tennis matches on TV.,english,0
314,She may have to quit her job next month.,english,0
315,Such a thing cannot be found everywhere.,english,0
316,Take this medicine when you have a cold.,english,0
317,Tell me what you are looking forward to.,english,0
318,The new bridge was named Rainbow Bridge.,english,0
319,The police officer arrested the burglar.,english,0
320,The room has been empty for a long time.,english,0
321,There are no live animals in the museum.,english,0
322,There is no satisfying spoiled children.,english,0
323,There used to be a big pond around here.,english,0
324,There's something we need to talk about.,english,0
325,They heard a gun go off in the distance.,english,0
326,Three men broke out of prison yesterday.,english,0
327,We saw the film and had dinner together.,english,0
328,We should try to understand one another.,english,0
329,What do you want to do in the afternoon?,english,0
330,What time does your watch say it is now?,english,0
331,What time does your watch say it is now?,english,0
332,"Would you just move along a bit, please?",english,0
333,A gentleman would not spit on the street.,english,0
334,Absence of rain caused the plants to die.,english,0
335,"As a result of the war, many people died.",english,0
336,Can you identify the man in this picture?,english,0
337,Did you feel the earthquake this morning?,english,0
338,Give up smoking if you want to live long.,english,0
339,"Having seen him before, I recognized him.",english,0
340,He could not come because of his illness.,english,0
341,He defeated his opponent in the election.,english,0
342,He failed to come up to our expectations.,english,0
343,He jumped into the water clothes and all.,english,0
344,He ordered them to release the prisoners.,english,0
345,He tried in vain to open the locked door.,english,0
346,I always rely on him in times of trouble.,english,0
347,I am convinced that he did nothing wrong.,english,0
348,I am looking for a present for my mother.,english,0
349,I don't feel like studying English today.,english,0
350,I don't think that it will rain tomorrow.,english,0
351,I have no time to help you with the work.,english,0
352,I heard someone call my name from behind.,english,0
353,I watched the game from beginning to end.,english,0
354,I'll never forget how kind you have been.,english,0
355,I'm going to go buy some materials today.,english,0
356,I'm very happy to make your acquaintance.,english,0
357,If only I had known the answer yesterday!,english,0
358,"If you are hungry, you can eat the bread.",english,0
359,"In the woods, she met with two strangers.",english,0
360,It is up to you whether to buy it or not.,english,0
361,It was hard for me to refuse his request.,english,0
